key,param,minmax
OAAT0359,koha,min
OAAT0360,koha,max
OAAT0361,cpha,min
OAAT0362,cpha,max
OAAT0363,vcmaxhd,min
OAAT0364,vcmaxhd,max
OAAT0365,jmaxhd,min
OAAT0366,jmaxhd,max
OAAT0367,tpuhd,min
OAAT0368,tpuhd,max
OAAT0369,lmrhd,min
OAAT0370,lmrhd,max
OAAT0371,vcmaxse_sf,min
OAAT0372,vcmaxse_sf,max
OAAT0373,jmaxse_sf,min
OAAT0374,jmaxse_sf,max
OAAT0375,tpuse_sf,min
OAAT0376,tpuse_sf,max
OAAT0377,jmax25top_sf,min
OAAT0378,jmax25top_sf,max
OAAT0379,KCN,min
OAAT0380,KCN,max
OAAT0381,LF,min
OAAT0382,LF,max
OAAT0383,FR,min
OAAT0384,FR,max
OAAT0385,Q10,min
OAAT0386,Q10,max
OAAT0387,CWD,min
OAAT0388,CWD,max
OAAT0389,om_frac_sf,max
OAAT0390,slopebeta,min
OAAT0391,slopebeta,max
OAAT0392,slopemax,min
OAAT0393,slopemax,max
OAAT0394,pc,max
OAAT0395,mu,min
OAAT0396,mu,max
OAAT0397,C2_liq_Brun89,min
OAAT0398,C2_liq_Brun89,max
OAAT0399,om_frac_sf,min
