,param_name,biome,criteria,rank,variable,measure
934,rholnir,Subtropical desert,alb_DirNIR_mean_Subtropical desert,5,alb_DirNIR,mean
935,jmaxb0,Subtropical desert,alb_DirNIR_iav_Subtropical desert,1,alb_DirNIR,iav
936,vcmaxhd,Subtropical desert,alb_DirNIR_iav_Subtropical desert,2,alb_DirNIR,iav
937,tpuse_sf,Subtropical desert,alb_DirNIR_iav_Subtropical desert,3,alb_DirNIR,iav
938,kcha,Subtropical desert,alb_DirNIR_iav_Subtropical desert,4,alb_DirNIR,iav
939,rhosnir,Subtropical desert,alb_DirNIR_iav_Subtropical desert,5,alb_DirNIR,iav
940,taulnir,Temperate rain forest,alb_DirNIR_mean_Temperate rain forest,1,alb_DirNIR,mean
941,rholnir,Temperate rain forest,alb_DirNIR_mean_Temperate rain forest,2,alb_DirNIR,mean
942,tpu25ratio,Temperate rain forest,alb_DirNIR_mean_Temperate rain forest,3,alb_DirNIR,mean
943,jmaxb1,Temperate rain forest,alb_DirNIR_mean_Temperate rain forest,4,alb_DirNIR,mean
944,tpuha,Temperate rain forest,alb_DirNIR_mean_Temperate rain forest,5,alb_DirNIR,mean
945,tpu25ratio,Temperate rain forest,alb_DirNIR_iav_Temperate rain forest,1,alb_DirNIR,iav
946,jmaxb1,Temperate rain forest,alb_DirNIR_iav_Temperate rain forest,2,alb_DirNIR,iav
947,tpuha,Temperate rain forest,alb_DirNIR_iav_Temperate rain forest,3,alb_DirNIR,iav
948,jmaxb0,Temperate rain forest,alb_DirNIR_iav_Temperate rain forest,4,alb_DirNIR,iav
949,lmrha,Temperate rain forest,alb_DirNIR_iav_Temperate rain forest,5,alb_DirNIR,iav
950,taulnir,Temperate seasonal forest,alb_DirNIR_mean_Temperate seasonal forest,1,alb_DirNIR,mean
951,rholnir,Temperate seasonal forest,alb_DirNIR_mean_Temperate seasonal forest,2,alb_DirNIR,mean
952,rhosnir,Temperate seasonal forest,alb_DirNIR_mean_Temperate seasonal forest,3,alb_DirNIR,mean
953,xl,Temperate seasonal forest,alb_DirNIR_mean_Temperate seasonal forest,4,alb_DirNIR,mean
954,tpu25ratio,Temperate seasonal forest,alb_DirNIR_mean_Temperate seasonal forest,5,alb_DirNIR,mean
955,rhosnir,Temperate seasonal forest,alb_DirNIR_iav_Temperate seasonal forest,1,alb_DirNIR,iav
956,tausnir,Temperate seasonal forest,alb_DirNIR_iav_Temperate seasonal forest,2,alb_DirNIR,iav
957,taulnir,Temperate seasonal forest,alb_DirNIR_iav_Temperate seasonal forest,3,alb_DirNIR,iav
958,snw_rds_refrz,Temperate seasonal forest,alb_DirNIR_iav_Temperate seasonal forest,4,alb_DirNIR,iav
959,accum_factor,Temperate seasonal forest,alb_DirNIR_iav_Temperate seasonal forest,5,alb_DirNIR,iav
960,taulnir,Woodland/shrubland,alb_DirNIR_mean_Woodland/shrubland,1,alb_DirNIR,mean
961,rholnir,Woodland/shrubland,alb_DirNIR_mean_Woodland/shrubland,2,alb_DirNIR,mean
962,rhosnir,Woodland/shrubland,alb_DirNIR_mean_Woodland/shrubland,3,alb_DirNIR,mean
963,tausnir,Woodland/shrubland,alb_DirNIR_mean_Woodland/shrubland,4,alb_DirNIR,mean
964,xl,Woodland/shrubland,alb_DirNIR_mean_Woodland/shrubland,5,alb_DirNIR,mean
965,frac_sat_soil_dsl_init,Woodland/shrubland,alb_DirNIR_iav_Woodland/shrubland,1,alb_DirNIR,iav
966,rhosnir,Woodland/shrubland,alb_DirNIR_iav_Woodland/shrubland,2,alb_DirNIR,iav
967,rholnir,Woodland/shrubland,alb_DirNIR_iav_Woodland/shrubland,3,alb_DirNIR,iav
968,taulnir,Woodland/shrubland,alb_DirNIR_iav_Woodland/shrubland,4,alb_DirNIR,iav
969,medlynslope,Woodland/shrubland,alb_DirNIR_iav_Woodland/shrubland,5,alb_DirNIR,iav
970,rhosnir,Temperate grassland/desert,alb_DirNIR_mean_Temperate grassland/desert,1,alb_DirNIR,mean
971,sand_pf,Temperate grassland/desert,alb_DirNIR_mean_Temperate grassland/desert,2,alb_DirNIR,mean
972,clay_pf,Temperate grassland/desert,alb_DirNIR_mean_Temperate grassland/desert,3,alb_DirNIR,mean
973,taulnir,Temperate grassland/desert,alb_DirNIR_mean_Temperate grassland/desert,4,alb_DirNIR,mean
974,rholnir,Temperate grassland/desert,alb_DirNIR_mean_Temperate grassland/desert,5,alb_DirNIR,mean
975,accum_factor,Temperate grassland/desert,alb_DirNIR_iav_Temperate grassland/desert,1,alb_DirNIR,iav
976,rhosnir,Temperate grassland/desert,alb_DirNIR_iav_Temperate grassland/desert,2,alb_DirNIR,iav
977,zsno,Temperate grassland/desert,alb_DirNIR_iav_Temperate grassland/desert,3,alb_DirNIR,iav
978,d_max,Temperate grassland/desert,alb_DirNIR_iav_Temperate grassland/desert,4,alb_DirNIR,iav
979,clay_pf,Temperate grassland/desert,alb_DirNIR_iav_Temperate grassland/desert,5,alb_DirNIR,iav
980,rholnir,Boreal forest,alb_DirNIR_mean_Boreal forest,1,alb_DirNIR,mean
981,taulnir,Boreal forest,alb_DirNIR_mean_Boreal forest,2,alb_DirNIR,mean
982,rhosnir,Boreal forest,alb_DirNIR_mean_Boreal forest,3,alb_DirNIR,mean
983,lmrha,Boreal forest,alb_DirNIR_mean_Boreal forest,4,alb_DirNIR,mean
984,jmaxb1,Boreal forest,alb_DirNIR_mean_Boreal forest,5,alb_DirNIR,mean
985,rholnir,Boreal forest,alb_DirNIR_iav_Boreal forest,1,alb_DirNIR,iav
986,taulnir,Boreal forest,alb_DirNIR_iav_Boreal forest,2,alb_DirNIR,iav
987,rhosnir,Boreal forest,alb_DirNIR_iav_Boreal forest,3,alb_DirNIR,iav
988,fff,Boreal forest,alb_DirNIR_iav_Boreal forest,4,alb_DirNIR,iav
989,upplim_destruct_metamorph,Boreal forest,alb_DirNIR_iav_Boreal forest,5,alb_DirNIR,iav
990,rhosnir,Tundra,alb_DirNIR_mean_Tundra,1,alb_DirNIR,mean
991,taulnir,Tundra,alb_DirNIR_mean_Tundra,2,alb_DirNIR,mean
992,rholnir,Tundra,alb_DirNIR_mean_Tundra,3,alb_DirNIR,mean
